,empty_slots,free_bikes,latitude,longitude,total_bikes
0,8,4,43.259125842121065,-79.87721174955368,12
1,12,16,43.269288276229105,-79.87132698297499,28
2,21,4,43.26785864558976,-79.8679232597351,25
3,7,7,43.263198441574474,-79.87180307507515,14
4,16,0,43.2561324863605,-79.8744987564414,16
5,10,1,43.2538302267771,-79.8753935613187,11
6,8,2,43.2496354495324,-79.8720555723035,10
7,5,6,43.26456372689135,-79.8777937889099,11
8,8,3,43.2618861338306,-79.877606006297,11
9,10,3,43.257877862291,-79.8561337635964,13
10,28,7,43.26271404114188,-79.91580605506897,35
11,5,3,43.25112644429895,-79.82740849256516,8
12,2,8,43.2540651616154,-79.8819466027797,10
13,2,14,43.255383107655966,-79.87889617681503,16
14,6,3,43.24943274108067,-79.8388883471489,9
15,5,4,43.24634382646498,-79.82685998082161,9
16,7,5,43.2628018805713,-79.8827367298478,12
17,9,2,43.2659146108256,-79.8819495909127,11
18,11,2,43.2488085584277,-79.8836993988543,13
19,0,10,43.26240933566922,-79.88798081874847,10
20,6,4,43.25966301112219,-79.8892092704773,10
21,4,8,43.2548127612063,-79.8909067737901,12
22,2,11,43.262460120020584,-79.92224670946598,13
23,20,10,43.26053126154136,-79.91824820637703,30
24,7,7,43.2599690032886,-79.922358671032,14
25,14,6,43.258038792898375,-79.91978779435158,20
26,7,7,43.2662112220324,-79.8993094512,14
27,0,13,43.2630174571678,-79.9009418422827,13
28,5,6,43.2460802627748,-79.90823779724,11
29,13,4,43.25656885270854,-79.9011692404747,17
30,12,2,43.2621672804245,-79.8964982026467,14
31,19,5,43.251458458948996,-79.89265590906143,24
32,4,6,43.2465214141618,-79.8947787566411,10
33,1,0,43.26547419149645,-79.94765996932983,1
34,0,13,43.2729912871819,-79.8945270389426,13
35,8,3,43.25650634283747,-79.88345324993132,11
36,11,6,43.2546745875963,-79.9208028150996,17
37,14,4,43.26201477888108,-79.90508794784544,18
38,1,8,43.262715994377196,-79.90359663963316,9
39,7,7,43.2521423210113,-79.9222158171462,14
40,4,7,43.2622271626907,-79.9133658840373,11
41,3,10,43.26202552179778,-79.91026729345322,13
42,4,9,43.2599031676959,-79.9264810904732,13
43,4,9,43.2605367847852,-79.9092948353051,13
44,8,3,43.2535916384655,-79.9166152756283,11
45,5,7,43.2585671813327,-79.90785866975784,12
46,0,2,43.26595632543361,-79.95375394821166,2
47,13,3,43.25343546641674,-79.86948698759079,16
48,0,9,43.2515957745917,-79.8749090863127,9
49,4,4,43.25802547698811,-79.91383865476678,8
50,4,9,43.254529435061336,-79.86718028783798,13
51,30,1,43.25161474646046,-79.83134329318999,31
52,1,9,43.2572539435115,-79.9342255404988,10
53,6,4,43.25205234935895,-79.93979036808014,10
54,12,0,43.2595496051254,-79.9426434441838,12
55,9,1,43.26044140942891,-79.83437284827232,10
56,4,6,43.25875372772543,-79.92979913949966,10
57,2,10,43.2518522355378,-79.9354198942367,12
58,14,4,43.26181945279216,-79.86674308776855,18
59,3,7,43.25940517059312,-79.89262372255325,10
60,9,6,43.256316859398744,-79.86866354942322,15
61,5,7,43.2494985579078,-79.859726111821,12
62,5,5,43.254154362311304,-79.85582381486893,10
63,7,5,43.25199038416551,-79.84910354018211,12
64,3,5,43.2559617394464,-79.8475054418754,8
65,7,5,43.2523698048509,-79.86883386969566,12
66,2,8,43.272362258983364,-79.86627101898192,10
67,8,7,43.2554850097816,-79.9298771288198,15
68,7,2,43.25672417073905,-79.88822355870525,9
69,6,5,43.2475653052787,-79.8180502653122,11
70,4,3,43.25911119199103,-79.86361294984816,7
71,19,5,43.24344818701565,-79.83040988445282,24
72,2,7,43.2480454302898,-79.8495236914621,9
73,6,5,43.245150946389735,-79.83708053827286,11
74,6,3,43.25504613306136,-79.84128892421722,9
75,7,1,43.2533992835566,-79.8374917817979,8
76,0,6,43.25901059433612,-79.86919194459914,6
77,8,4,43.26462232214244,-79.91868138313293,12
78,6,3,43.252910500996364,-79.82217215001583,9
79,6,0,43.25147804372769,-79.81602117419243,6
80,2,5,43.25519606248058,-79.86437804996967,7
81,2,4,43.24333095563425,-79.84050840139389,6
82,7,5,43.24814116192469,-79.84201848506926,12
83,8,1,43.2480282225403,-79.8550984051804,9
84,10,3,43.24487936776345,-79.85186353325844,13
85,9,1,43.2551792486624,-79.8614431097373,10
86,9,1,43.2587508364231,-79.8598228455297,10
87,6,4,43.26124519046125,-79.853318631649,10
88,5,4,43.26534015820083,-79.84364993870258,9
89,4,5,43.25632467316046,-79.83628392219543,9
90,4,4,43.2552894386678,-79.83144521713257,8
91,4,9,43.2492552510953,-79.8641461491451,13
92,6,4,43.251798383773966,-79.86318781971931,10
93,12,7,43.26471509784132,-79.91574570536613,19
94,0,5,43.25281814686537,-79.86008584499359,5
95,30,0,43.26274333966465,-79.91714715957642,30
96,9,2,43.25851444036409,-79.87894982099533,11
97,7,5,43.2701169222876,-79.861626657542,12
98,19,5,43.27606684636728,-79.86029773950577,24
99,4,7,43.2495181157076,-79.9234422627427,11
100,6,6,43.2496648107707,-79.8677950761702,12
101,12,0,43.25586951986928,-79.87145036458969,12
102,12,1,43.271621271914,-79.856711442486,13
103,5,5,43.2543192007999,-79.8733946157064,10
104,7,6,43.2526283084979,-79.899692892407,13
105,6,3,43.262056982995,-79.8582423171631,9
106,3,4,43.266617945064255,-79.85489845275879,7
107,7,2,43.248928499066146,-79.82342541217804,9
108,2,7,43.25191559879094,-79.85307991504669,9
109,3,5,43.24216273334376,-79.8250025510788,8
110,4,2,43.25812181171754,-79.8793575167656,6
111,8,2,43.251632328780424,-79.86898005008698,10
112,8,1,43.2444465978823,-79.81923043727875,9
113,7,8,43.26558132306987,-79.94965553283691,15
114,11,1,43.25971184443275,-79.86767515540123,12
115,4,3,43.25332704523968,-79.886634349823,7
116,0,7,43.252499716928924,-79.88658607006073,7
117,1,3,43.2569048421661,-79.86643463373184,4
118,10,0,43.25893246012055,-79.8449581861496,10
119,3,6,43.25200741706332,-79.88158643245697,9
120,4,1,43.25163037518954,-79.87135380506516,5
121,5,4,43.25891916811838,-79.86106485128403,9
122,3,4,43.25652795268133,-79.86623145639896,7
123,4,6,43.256556155396176,-79.88510146737099,10
124,3,3,43.25124627968789,-79.83547054231167,6
125,3,4,43.2513467527978,-79.83823858201504,7
126,4,5,43.251884127702,-79.84635829925537,9
127,23,0,43.25906138152248,-79.87338691949844,23
128,7,3,43.25693469264953,-79.86957684159279,10
129,2,8,43.25646071175471,-79.84998129308224,10
130,21,5,43.27260051521549,-79.86689731478691,26
131,5,4,43.25400491861888,-79.86223563551903,9
132,8,7,43.24978615747242,-79.87574994564056,15
133,9,0,43.25729552525069,-79.85334813594818,9
134,8,1,43.265938747249415,-79.86042380332947,9
135,0,15,43.26624929442286,-79.86611008644103,15
136,7,2,43.27365898786445,-79.86182928085327,9
137,13,1,43.289479198281,-79.89169299602507,14
138,12,3,43.27528883070137,-79.85690742731094,15
139,7,4,43.25831920066756,-79.84240606427193,11
140,8,5,43.2637774120007,-79.8660421593136,13
141,4,4,43.25960441109783,-79.90210264921188,8
142,5,2,43.26000777328068,-79.7663875669241,7
143,4,1,43.2573917915248,-79.86790180206299,5
